highway_n,osmid_n,ref_n,geometry_n
,49283660,,POINT (-116.910652 32.793297)
,49087056,,POINT (-116.9315478 32.790749)
,49283668,,POINT (-116.9089861 32.7920232)
,49414741,,POINT (-116.9278928 32.778229)
,49087060,,POINT (-116.929192 32.791203)
,49611350,,POINT (-117.081581 32.651478)
,370213464,,POINT (-117.1092739 32.7507351)
,4616487513,,POINT (-117.1345625 32.6209601)
,49087065,,POINT (-116.9197864 32.7235463)
,49283675,,POINT (-116.906067 32.791237)
traffic_signals,370213465,,POINT (-117.1092792 32.7497594)
,49283677,,POINT (-116.90464 32.79108)
,49611356,,POINT (-117.068336 32.61562)
,49611358,,POINT (-117.067741 32.614063)
,49283680,,POINT (-116.903931 32.79108)
,4616487521,,POINT (-117.1350476 32.6184562)
,49611360,,POINT (-117.06707 32.612331)
,4616487523,,POINT (-117.134473 32.6208998)
,49611362,,POINT (-117.066406 32.610615)
,49087077,,POINT (-117.0436505 32.6872662)
traffic_signals,358285926,,POINT (-117.1016245 32.7040574)
,49283687,,POINT (-116.900803 32.791328)
,49611367,,POINT (-117.075111 32.633629)
,49218152,,POINT (-116.92677 32.7191)
,49087081,,POINT (-117.042191 32.685768)
,49087082,,POINT (-117.041901 32.684898)
,49087084,,POINT (-117.041733 32.684128)
,49087085,,POINT (-117.041573 32.683311)
,49146424,,POINT (-116.917236 32.782959)
,49152625,,POINT (-116.977623 32.663975)
,49611377,,POINT (-117.07415 32.632374)
,277348979,,POINT (-117.1083689 32.7486781)
traffic_signals,277348980,,POINT (-117.1082854 32.7497483)
,49611378,,POINT (-117.072456 32.628052)
,49087096,,POINT (-117.175491 32.795898)
,49152633,,POINT (-116.977509 32.662914)
turning_circle,49087097,,POINT (-117.174637 32.795853)
,49283711,,POINT (-117.0923 32.742126)
,49480319,,POINT (-116.998154 32.728436)
,49283713,,POINT (-117.092308 32.742702)
,49152645,,POINT (-116.975937 32.662369)
,49283718,,POINT (-117.092323 32.745617)
,49152647,,POINT (-116.974968 32.662338)
,49283717,,POINT (-117.092331 32.744473)
,49283721,,POINT (-117.0923 32.747368)
,49283722,,POINT (-117.0923 32.747673)
,49283723,,POINT (-117.092293 32.748447)
,49283720,,POINT (-117.092308 32.746609)
,49283725,,POINT (-117.0922468 32.7513657)
traffic_signals,49283728,,POINT (-117.0921976 32.7560685)
,49676945,,POINT (-117.004646 32.73708)
,49611414,,POINT (-117.077858 32.641865)
,49283736,,POINT (-117.079498 32.675877)
,49611416,,POINT (-117.07682 32.639278)
,3377791640,,POINT (-116.9307625 32.7859509)
,3377791642,,POINT (-116.9460767 32.7880652)
,49152668,,POINT (-116.988983 32.763741)
,49611422,,POINT (-117.0705634 32.6232431)
turning_circle,49152671,,POINT (-116.989281 32.764137)
,49283744,,POINT (-117.078346 32.672371)
,49283745,,POINT (-117.077667 32.670631)
,49611425,,POINT (-117.070381 32.623028)
,49152675,,POINT (-117.010193 32.794399)
,49283747,,POINT (-117.076973 32.66893)
,49283756,,POINT (-117.075951 32.666328)
,49152685,,POINT (-117.011307 32.795887)
,49676979,,POINT (-117.005913 32.641914)
,49676981,,POINT (-117.005669 32.642044)
,49676992,,POINT (-117.004593 32.642879)
,49676994,,POINT (-117.004066 32.643127)
,49480392,,POINT (-117.1449561 32.7418051)
,49414858,,POINT (-116.973938 32.720085)
,49677002,,POINT (-117.004372 32.642487)
,49677004,,POINT (-117.006119 32.642906)
,49677005,,POINT (-117.005669 32.643143)
,49480394,,POINT (-117.144943 32.744354)
,49414863,,POINT (-117.038727 32.73167)
,49414864,,POINT (-117.0386832 32.7308997)
,49677008,,POINT (-117.005188 32.64336)
,660538063,,POINT (-117.2462563 32.7544634)
,49480400,,POINT (-117.144951 32.745716)
,49480405,,POINT (-117.144981 32.750286)
,49677018,,POINT (-117.003883 32.642738)
,49480411,,POINT (-117.144997 32.752155)
,49677022,,POINT (-117.004959 32.643009)
motorway_junction,48956128,,POINT (-117.1118586 32.7739045)
,49677025,,POINT (-117.005417 32.642738)
motorway_junction,48956132,,POINT (-117.111103 32.7759695)
,49677029,,POINT (-117.005981 32.642574)
turning_circle,49087206,,POINT (-117.065659 32.748302)
,49480424,,POINT (-117.145012 32.757221)
,49087209,,POINT (-117.066177 32.751198)
traffic_signals,49087210,,POINT (-117.0162634 32.6744842)
,49480427,,POINT (-117.14502 32.758011)
,49087213,,POINT (-117.0131256 32.6753372)
,49677039,,POINT (-117.006248 32.643124)
,5950407408,,POINT (-116.9831194 32.7318892)
,49087215,,POINT (-117.011398 32.675808)
,49087219,,POINT (-117.007858 32.676739)
,49087220,,POINT (-117.00769 32.676781)
,49087221,,POINT (-117.005814 32.677319)
,49087222,,POINT (-117.003357 32.677994)
,49087223,,POINT (-117.000816 32.67868)
,49152761,,POINT (-117.048729 32.659016)
turning_circle,287376123,,POINT (-117.1459903 32.7908421)
,49742587,,POINT (-117.032951 32.600368)
,49414913,,POINT (-117.083794 32.741634)
,49087240,,POINT (-116.99511 32.68145)
,49283849,,POINT (-117.109863 32.686085)
,49283850,,POINT (-117.109863 32.68478)
,49087241,,POINT (-116.992996 32.681469)
,49152780,,POINT (-117.044937 32.660686)
turning_circle,49349385,,POINT (-117.074669 32.753075)
,49087246,,POINT (-117.244011 32.733501)
,49152783,,POINT (-117.053749 32.655811)
,49087248,,POINT (-117.243294 32.734341)
,49087250,,POINT (-117.242569 32.735172)
,49087252,,POINT (-117.241837 32.736015)
,49152789,,POINT (-117.05172 32.656349)
,49283861,,POINT (-117.1097769 32.6831362)
,49152791,,POINT (-117.050751 32.656628)
,49283863,,POINT (-117.109261 32.681866)
,49152793,,POINT (-117.050034 32.656826)
,49087254,,POINT (-117.241096 32.736866)
,49087256,,POINT (-117.240356 32.737713)
,49087258,,POINT (-117.2396596 32.7385364)
,4619371293,,POINT (-116.9328133 32.7757609)
,49087260,,POINT (-117.238918 32.739403)
,49480477,,POINT (-117.1450275 32.7619222)
,358286110,,POINT (-117.1008622 32.7005008)
,49087265,,POINT (-117.23806 32.742733)
,49087262,,POINT (-117.2385854 32.7404972)
traffic_signals,49677091,,POINT (-117.1574318 32.7168066)
,49087264,,POINT (-117.238327 32.741623)
,49480481,,POINT (-117.1044347 32.583778)
,49480482,,POINT (-117.104424 32.582275)
,276103971,,POINT (-117.2094697 32.7591946)
,49480484,,POINT (-117.104431 32.580673)
,49087269,,POINT (-117.2369327 32.7442241)
,49087270,,POINT (-117.236452 32.7447872)
,49087271,,POINT (-117.2359701 32.7453555)
,49087272,,POINT (-117.017387 32.668423)
,49152813,,POINT (-117.137901 32.74575)
,49480487,,POINT (-117.104446 32.577496)
,49152817,,POINT (-117.136803 32.745754)
,49087282,,POINT (-117.016273 32.663834)
,49152819,,POINT (-117.135727 32.745758)
,49414966,,POINT (-117.071442 32.647491)
,49152823,,POINT (-117.1346744 32.7457718)
,49414968,,POINT (-117.072243 32.64727)
,49152827,,POINT (-117.1336267 32.7457719)
traffic_signals,49414976,,POINT (-117.160147 32.7146491)
,49152833,,POINT (-117.119331 32.746025)
traffic_signals,49414978,,POINT (-117.1592491 32.7146611)
,49087299,,POINT (-117.01963 32.66489)
,49152836,,POINT (-117.1180881 32.7460153)
traffic_signals,49414980,,POINT (-117.1574329 32.7146782)
,49152839,,POINT (-117.116852 32.7460057)
,49414983,,POINT (-117.154694 32.714695)
,49087303,,POINT (-117.018608 32.666668)
,49480522,,POINT (-117.057999 32.705147)
,49152843,,POINT (-117.1143881 32.7459864)
,49414989,,POINT (-117.1519503 32.714706)
,49152846,,POINT (-117.113152 32.7459768)
,4626056015,,POINT (-116.9842434 32.7699464)
,49152847,,POINT (-117.112537 32.745972)
,49480529,,POINT (-117.058006 32.703281)
,49480534,,POINT (-117.058022 32.702305)
,4626056025,,POINT (-116.9844622 32.7709617)
,49152858,,POINT (-117.108208 32.745941)
,49480539,,POINT (-117.058052 32.701313)
turning_circle,49415005,,POINT (-117.123573 32.714851)
,49152862,,POINT (-117.106956 32.74593)
,49152864,,POINT (-117.105743 32.7459274)
,49152866,,POINT (-117.1045 32.745907)
,49152869,,POINT (-117.103271 32.745892)
traffic_signals,49152876,,POINT (-117.100929 32.745869)
,49152880,,POINT (-117.0998439 32.745861)
,49152881,,POINT (-117.098778 32.745846)
motorway_junction,48890738,17,POINT (-117.1680856 32.7274401)
,49152883,,POINT (-117.0977052 32.7458574)
,49349489,,POINT (-116.927391 32.777859)
stop,49087346,,POINT (-117.0840952 32.5728153)
stop,49087347,,POINT (-117.0612381 32.761982)
,49152887,,POINT (-117.096619 32.745895)
,49742708,,POINT (-117.10054 32.709988)
,49087352,,POINT (-117.060257 32.763474)
,49152890,,POINT (-117.083618 32.746437)
,49087353,,POINT (-117.0598643 32.7638264)
,49349496,,POINT (-116.9279008 32.778465)
,49152893,,POINT (-117.129204 32.74559)
,49152895,,POINT (-117.128227 32.74559)
,49415040,,POINT (-117.133165 32.71479)
,49611647,,POINT (-117.209961 32.742352)
,49087360,,POINT (-117.061188 32.758972)
