nodes,distance
49757020,2068.0899999999997
49757038,2988.814
49757040,3332.429
435764104,2112.4159999999997
316685239,2502.784
3932109866,1021.4459999999999
1188772963,1288.626
1188772964,1199.123
316685418,2439.504
49233431,2741.593
49233433,3397.251
316685898,2498.221
49036972,1663.6100000000001
49037097,2842.728
49037098,2857.695
49561949,3164.467
49561951,3158.396
2430681613,2385.723
2478391900,2049.8889999999997
2478391903,2032.2909999999997
2478391906,2066.709
2478391908,2036.0119999999997
49758840,2920.859
350307035,1898.313
49234902,3520.8860000000004
49431755,2862.2410000000004
49431773,2790.5210000000006
317474141,3445.7250000000004
49038713,3427.6490000000003
276776512,1005.204
48973396,1585.119
49384344,2812.082
2429765520,3564.3950000000004
3701950399,3150.1079999999997
3701950420,3258.4979999999996
49498069,3343.327999999999
49301497,2845.207
413288539,2265.6059999999998
413288541,2435.247
413288547,3080.1139999999996
4589897904,3454.4590000000003
4589897905,3357.206
3701819652,3276.962
3701819654,3270.598
3701819660,3421.411
49105228,2080.525
49105229,2009.174
4344662407,2202.6679999999997
4343024193,2664.062
4343024194,2808.424
4974463555,3475.9059999999995
1304578916,2839.534
1304578919,2890.4880000000003
49564758,3066.382
49564761,3163.216
49040797,3058.9530000000004
49040798,3074.5710000000004
317476261,3466.6540000000005
317476263,3482.8730000000005
317476268,3448.4790000000003
49040966,3004.2850000000003
49040983,3241.992
48909931,3196.1349999999998
48909932,3182.863
3695660661,2281.0499999999997
3695660670,2269.4559999999997
49303277,3382.3440000000005
49303278,3499.4290000000005
49106875,2533.332
49106879,2429.328
49696711,2192.654
49696713,2463.476
49696714,2396.13
1199525901,3096.625
49107067,3050.8239999999996
49107071,3244.0679999999998
49107077,3493.055
49107166,3075.468
49107171,3497.131
1835159784,1140.692
49435164,2928.9400000000005
49435167,2816.126
49435174,2724.4320000000002
49435187,2275.465
49435189,2343.0290000000005
49435192,2282.2000000000003
49435200,2684.14
49435206,3206.603
49631821,3278.808
49631850,3167.76
49566472,3536.6420000000003
49566476,2223.1389999999997
49566477,2299.4489999999996
49566483,2404.3459999999995
49566488,2828.581
49566492,3220.466999999999
49566495,3225.122999999999
317477712,2338.661
49435891,2814.769
2342868418,2283.2549999999997
2342868472,2563.1439999999993
49436217,2495.811
49501903,2874.737
49501904,2717.6330000000003
49108696,2164.399
49108697,2023.3249999999998
49501918,2551.4010000000007
49501920,2649.7170000000006
49501941,3262.051999999999
49501943,3377.635999999999
49501947,3491.403
49436415,3311.4909999999995
49436422,3228.7279999999996
49436426,3315.0579999999995
49108787,2632.656
49108788,2719.755
49174531,3557.1490000000003
49174534,3460.1290000000004
49633302,2588.2919999999995
49699385,2171.7169999999996
49699395,1999.754
49699402,2770.61
49699404,2550.6850000000004
49699406,2790.802
49502944,3111.1749999999997
49502971,3115.477
52255700,875.6810000000002
52255707,1161.1750000000002
49306722,3364.823999999999
49306723,3423.3869999999993
1190485170,3336.008
1190485175,3223.7889999999998
49306822,1836.1699999999998
49306843,908.2379999999999
49306847,803.2139999999999
49306855,427.839
49306895,952.3389999999999
49306949,3303.0309999999995
49634659,2898.906
49241497,3565.479
1742429643,2280.3759999999997
49503722,3296.9299999999994
49503733,3237.2479999999996
1742429686,2788.7279999999996
49307165,1749.546
1742429737,2803.2729999999997
1742429747,2865.2459999999996
1742429778,2401.7439999999997
4600127226,1940.996
3718013355,3136.0710000000004
3718013356,3118.5570000000002
3718013364,3055.16
3718013369,3076.409
3718013375,2968.24
1188782856,1822.832
1188782869,1992.3760000000004
1188782868,1610.7820000000002
1188782872,1834.1040000000003
49767197,2243.7210000000005
1188782878,2146.3550000000005
1188782887,1804.7440000000001
1188782892,1896.7020000000005
1188782893,1776.1680000000001
1399415633,3061.6259999999997
48981206,3003.013
48981209,3338.691
5698709382,3226.5899999999997
5698709391,2718.0139999999997
5698709392,2704.872
49112977,3525.751
49112978,3409.967
49112982,2943.886
49112983,2827.687
49112984,2594.836
49112985,2403.671
49178634,3015.552
49178636,2776.58
49178637,2692.2509999999997
49178639,2621.4449999999997
49113850,3350.311000000001
49113852,3266.6150000000002
49113854,3326.0800000000004
49113855,3387.2000000000003
49113859,3488.381
