class,nodes,distance
1,49113939,2158.572
1,49113940,2222.639
1,49048434,3360.452
1,49049099,2999.694
1,49049102,3178.859
1,49049108,3330.649
1,2139647826,2137.474
1,49442656,1703.388
1,49049543,2980.592
1,2139647964,2327.774
1,2139647966,2332.815
1,2139647986,2491.173
1,2139647995,2493.23
1,2139648013,2655.26
1,2139648015,2653.897
1,2139648022,2762.036
1,2139648025,2758.61
1,2139648038,2742.505
1,2139648055,2968.64
1,2139648059,2965.297
1,2139648062,2985.866
1,49442996,2944.163
1,49115716,1719.774
1,49115717,1448.036
1,49115719,1357.279
1,49115720,1393.336
1,49115773,3250.994
1,49115775,3196.954
1,49116226,3579.185
1,49116233,3112.493
1,49116234,3029.123
1,49116242,2604.427
1,49116243,2520.897
1,49116245,2436.985
1,49116248,2096.249
1,49116250,2010.983
1,49116253,1716.593
1,49116254,1845.001
1,49050943,3398.057
1,49575513,2661.689
1,49313536,3023.249
1,4614747939,3150.862
1,49313591,3391.639
1,49313595,2973.423
1,3456202655,2123.464
1,3456202656,2105.368
1,3456202658,1965.762
1,3456202659,2006.717
1,3456202661,2115.381
1,3456202662,2099.174
1,3456202663,2028.183
1,3456202664,2053.68
1,49379285,1320.613
1,49379292,1400.464
1,49051624,638.163
1,49051623,751.369
1,49576050,3542.187
1,49248587,3030.154
1,49248592,2915.171
1,49248601,2812.155
1,49248611,2391.963
1,49117601,2261.105
1,49117602,2183.476
1,49117603,2108.534
1,2139650497,1954.236
1,49117668,2220.207
1,49117675,1955.618
1,4343036543,3551.635
1,4343036545,3557.453
1,49576589,2888.59
1,49117945,1258.007
1,49445666,2816.27
1,49445671,2914.354
1,49445680,3106.813
1,49445687,3151.042
1,49445693,3302.657
1,1010138242,3253.875
1,49773709,2947.71
1,49643573,3378.536
1,5896372446,2503.284
1,5896372447,2437.318
1,5896372449,2245.275
1,5896372452,2146.664
1,5896372453,2329.984
1,5896372454,2141.556
1,5896372455,2347
1,5896372456,2339.467
1,49316210,3025.462
1,49316214,3203.672
1,49316240,3378.82
1,49119660,3516.986
1,49447343,3396.119
1,49119663,3430.568
1,49447346,3304.426
1,49512897,2154.444
1,49512908,2724.854
1,49512910,2848.06
1,49512912,2952.606
1,49512917,3484.192
1,49382003,763.78
1,49709748,2117.903
1,49251162,3594.036
1,49251164,3508.263
1,49251167,3425.217
1,49251171,3255.336
1,49251175,3186.287
1,49251176,3085.749
1,49054597,3439.682
1,49054598,3190.667
1,49054604,3007.048
1,49251239,2847.649
1,49251242,2802.632
1,49251244,2747.734
1,49251260,2446.009
1,49251281,3057.195
1,49251288,3211.489
1,49251292,3414.117
1,49054788,1226.404
1,49054799,1405.309
1,49054809,1608.428
1,49054811,1669.259
1,49054812,1563.011
1,49054813,1380.866
